wallet,nb_marches,volume_usd,nb_wins,nb_losses,win_rate_pct,volume_par_marche
0x850Bc7d13D1F4C5C78772B8F76331696F2a4211C,38,25043.0,38.0,0.0,100.0,659.0
0x5C54c5962ba087307a534FeFE08b9d2183134944,28,15087.0,28.0,0.0,100.0,539.0
0xb1716Ed087747e86158D91a68c9FA00cc9Bc63d4,29,15143.0,29.0,0.0,100.0,522.0
0x1edC4b208D2Ca11D5E996744849bc38F28148FC0,20,15106.0,20.0,0.0,100.0,755.0
0xA79c1D5F93437E8b87136F0129E5E31D65F4adF2,32,24598.0,32.0,0.0,100.0,769.0
0x8dfc1A1cF7e0b102cD4D1F905a92D968004B0014,46,36587.0,46.0,0.0,100.0,795.0
0x209Ac7B5f4944A1AbecD83407c7c532CA2834269,36,14795.0,36.0,0.0,100.0,411.0
0x5770999d2395B8B6B7f183b37Fd54CA158Fae7f0,24,14818.0,24.0,0.0,100.0,617.0
0x90DEe690F376538a673EbcE43a3d8A6b1116b4d6,20,15119.0,20.0,0.0,100.0,756.0
0xD6E345A2Cb7f44B475a1fcb2268818b1C9e7099B,22,25173.0,22.0,0.0,100.0,1144.0
0x25f5cF684651B010a1b78dbc5d1dfB8A9F6710f9,20,15008.0,20.0,0.0,100.0,750.0
0x5d6935865A80BDDFfDda3703B765cFa69902528c,20,15090.0,20.0,0.0,100.0,755.0
0x23B5BC05D5C069FF7aEb2cf031Fdb263190d1087,20,15087.0,20.0,0.0,100.0,754.0
0x54F314f5DC7d32f8b47B89730ed2674cc08415Eb,29,12446.0,29.0,0.0,100.0,429.0
0xf5DD7962Fe3032ef36d1642Aa6c2DD08e4cA96F0,35,25159.0,35.0,0.0,100.0,719.0
0x34BCf66128e07729Ec84c495C6881a16493E8b66,43,36676.0,43.0,0.0,100.0,853.0
0xfF45B1ec52d8bd7A6bE2fD40428BE26ba7dF2b41,32,30965.0,32.0,0.0,100.0,968.0
0x532c6dE341216B9021C173d4C8a33Bb61192ADdB,30,15002.0,30.0,0.0,100.0,500.0
0xC934DeEc480B83d8C45d1c895Fb1bB34896EEB1C,30,11611.0,30.0,0.0,100.0,387.0
0x8640B164853686416a38f6283077F10d8869E5C1,21,11323.0,20.0,0.0,100.0,539.0
0x53511a9B9aB703A070EBAd469B0167781c4975C7,33,24859.0,33.0,0.0,100.0,753.0
0xD66b068F742698a92945596Ff4F4244444FF4843,30,24883.0,30.0,0.0,100.0,829.0
0xc8c0DAb3495E94807191C37e6aFBc7Ecf5A70aA4,31,15021.0,31.0,0.0,100.0,485.0
0x40356DA31B327129c38F7B6850E66224FF049eF8,30,15005.0,30.0,0.0,100.0,500.0
0x914989929e604f79A93537f1962fB1f2f0920a65,21,27140.0,21.0,0.0,100.0,1292.0
0x3799c51018a447f77e3D57fea5539387f95aD699,30,14826.0,30.0,0.0,100.0,494.0
0xe9Ab95730a156073F6194fb986Ba64C492291F1C,26,25028.0,26.0,0.0,100.0,963.0
0x6d9107FEc92f328a55961901be0884d30a782948,29,13115.0,29.0,0.0,100.0,452.0
0x95DCDCDeA15eFD424C94E7fEf393101e6Af335C2,20,15042.0,20.0,0.0,100.0,752.0
0x52C24E134a6DeAacD8be26BE34cfe7325369B7AF,29,14805.0,29.0,0.0,100.0,511.0
0x4974a9bAE355E494927976F7979Fd6aB8c62A41b,30,15123.0,30.0,0.0,100.0,504.0
0xffDD1974683fEb49e045fE308828391a63EE63EB,31,14165.0,31.0,0.0,100.0,457.0
0xE938478a2cc99D635cB805359781b39e86A0Ef75,30,14897.0,30.0,0.0,100.0,497.0
0x3f7203188d9B402d69871c6394F6b05e8DAdA0eE,31,14920.0,31.0,0.0,100.0,481.0
0xbf8Cfb56C263cb6995208e47E0F0744236b235AD,29,15068.0,29.0,0.0,100.0,520.0
0x9FFDA6b1e4EF955FAFab364b862EB98c88967e53,31,15045.0,31.0,0.0,100.0,485.0
0xdBb3F8df695f01bD81C47C86e2dAD991176D8266,30,11769.0,30.0,0.0,100.0,392.0
0x40749bF42A556d03ae76d060b6DedDcEE94D2003,28,13779.0,28.0,0.0,100.0,492.0
0x82709cD6eB276734927F08E83AC10E9b18B57e22,58,31739.0,58.0,0.0,100.0,547.0
