asset,signal,mag_filter,mag_threshold_pct,n,p_mean_rev,ev_pp,opp_per_day
SOL,DOWNx2,p50-p75,0.0984,15058,0.5106919909682561,1.0691990968256126,17.02584477431462
SOL,UPx3,>p50,0.0984,17083,0.5364982731370368,3.6498273137036796,19.315480560473944
SOL,UPx3,>p75,0.1847,10058,0.5326108570292305,3.26108570292305,11.372423080094066
SOL,UPx3,>p90,0.3103,4883,0.5408560311284047,4.085603112840475,5.521131626575793
SOL,UPx3,p50-p75,0.0984,7025,0.5420640569395018,4.2064056939501775,7.943057480379879
SOL,DOWNx3,>p50,0.0984,17950,0.5257381615598886,2.5738161559888617,20.29578388225179
SOL,DOWNx3,>p75,0.1847,10753,0.528224681484237,2.8224681484236958,12.158248695590723
SOL,DOWNx3,>p90,0.3103,5235,0.529512893982808,2.9512893982807986,5.91913251384892
SOL,DOWNx3,p50-p75,0.0984,7197,0.5220230651660414,2.2023065166041356,8.137535186661065
XRP,UPx1,any,0.0,124061,0.5156656805926116,1.5665680592611642,140.27382976133921
XRP,DOWNx1,any,0.0,130652,0.4896595536233659,-1.0340446376634116,147.72617023866076
XRP,UPx2,any,0.0,60087,0.5266363772529832,2.663637725298318,67.93942986812608
XRP,DOWNx2,any,0.0,66678,0.5025945589249827,0.2594558924982726,75.39177034544763
XRP,UPx3,any,0.0,28443,0.5366874099075344,3.6687409907534385,32.160054649743046
XRP,DOWNx3,any,0.0,33167,0.5129797690475473,1.2979769047547274,37.50140746644262
XRP,UPx4,any,0.0,13178,0.5471239945363484,4.712399453634841,14.900158217287691
XRP,DOWNx4,any,0.0,16153,0.5134649910233393,1.3464991023339312,18.26394412534892
XRP,UPx1,>p50,0.082,72272,0.5133384990037635,1.3338499003763493,81.71681853694157
XRP,UPx1,>p75,0.1583,41570,0.5113062304546547,1.130623045465473,47.002547965749685
XRP,UPx1,>p90,0.2753,19584,0.5131229575163399,1.312295751633985,22.143322091923064
XRP,UPx1,p50-p75,0.082,30702,0.5160901569930298,1.6090156993029847,34.71427057119189
XRP,DOWNx1,>p50,0.082,71408,0.5004481290611696,0.044812906116964424,80.73990726818026
XRP,DOWNx1,>p75,0.1583,41187,0.5083885692087309,0.8388569208730878,46.56949586397239
XRP,DOWNx1,>p90,0.2753,19465,0.5203185204212689,2.0318520421268915,22.008770655600618
XRP,DOWNx1,p50-p75,0.082,30221,0.48962641871546275,-1.0373581284537248,34.170411404207876
XRP,UPx2,>p50,0.082,35048,0.5255078749144031,2.5507874914403095,39.62822470780839
XRP,UPx2,>p75,0.1583,20211,0.5270892088466677,2.7089208846667656,22.852261172378324
XRP,UPx2,>p90,0.2753,9643,0.5316810121331537,3.1681012133153663,10.90318907947376
XRP,UPx2,p50-p75,0.082,14837,0.5233537777178675,2.3353777717867508,16.775963535430073
XRP,DOWNx2,>p50,0.082,36097,0.5188242790259578,1.8824279025957846,40.81431257925587
XRP,DOWNx2,>p75,0.1583,20902,0.5296143909673715,2.9614390967371507,23.633564050519603
XRP,DOWNx2,>p90,0.2753,10081,0.5419105247495288,4.191052474952883,11.398428819887481
XRP,DOWNx2,p50-p75,0.082,15195,0.5039815728858177,0.3981572885817686,17.180748528736263
XRP,UPx3,>p50,0.082,16450,0.5372036474164134,3.7203647416413355,18.59975737398562
XRP,UPx3,>p75,0.1583,9626,0.5376064824433825,3.7606482443382494,10.883967445713411
XRP,UPx3,>p90,0.2753,4762,0.5443091138177236,4.430911381772362,5.384318821575656
XRP,UPx3,p50-p75,0.082,6824,0.5366354044548651,3.663540445486513,7.715789928272212
XRP,DOWNx3,>p50,0.082,17753,0.5311215005914494,3.112150059144936,20.073039067499497
XRP,DOWNx3,>p75,0.1583,10288,0.5433514774494557,4.335147744945567,11.632480478028212
XRP,DOWNx3,>p90,0.2753,5053,0.554522066099347,5.452206609934695,5.713347964179292
XRP,DOWNx3,p50-p75,0.082,7465,0.5142665773610181,1.4266577361018107,8.440558589471287
DOGE,UPx1,any,0.0,125401,0.5091586191497676,0.9158619149767566,141.78839011597321
DOGE,DOWNx1,any,0.0,129313,0.4937631947290682,-0.6236805270931789,146.21160988402679
DOGE,UPx2,any,0.0,61551,0.5239882373966305,2.3988237396630474,69.59447851315593
DOGE,DOWNx2,any,0.0,65464,0.5048576316754246,0.4857631675424634,74.01882896110932
DOGE,UPx3,any,0.0,29299,0.5296426499197925,2.9642649919792485,33.12779038450969
DOGE,DOWNx3,any,0.0,32414,0.5136052323070278,1.3605232307027815,36.64985827241534
DOGE,UPx4,any,0.0,13781,0.5369711922211741,3.6971192221174065,15.581899699270554
DOGE,DOWNx4,any,0.0,15766,0.5235950780159838,2.3595078015983817,17.826299300391813
DOGE,UPx1,>p50,0.104,72808,0.5093258982529392,0.9325898252939169,82.32254214530808
DOGE,UPx1,>p75,0.1963,42066,0.510245804212428,1.0245804212428045,47.563180665373714
DOGE,UPx1,>p90,0.3322,19888,0.5120675784392599,1.2067578439259874,22.486961847405325
DOGE,UPx1,p50-p75,0.104,30742,0.5080671394183853,0.8067139418385327,34.759361479934356
DOGE,DOWNx1,>p50,0.104,72594,0.4979199382869108,-0.20800617130892207,82.08057664674891
